Season,Slot,StrongSeed,WeakSeed,StrTeamID,WkTeamID,StrTeamName,WkTeamName
1985,R1W1,W01,W16,1207,1250,Georgetown,Lehigh
1985,R1W2,W02,W15,1210,1273,Georgia Tech,Mercer
1985,R1W3,W03,W14,1228,1318,Illinois,Northeastern
1985,R1W4,W04,W13,1260,1233,Loyola-Chicago,Iona
1985,R1W5,W05,W12,1374,1330,SMU,Old Dominion
1985,R1W6,W06,W11,1208,1455,Georgia,Wichita St
1985,R1W7,W07,W10,1393,1177,Syracuse,DePaul
1985,R1W8,W08,W09,1396,1439,Temple,Virginia Tech
1985,R1X1,X01,X16,1385,1380,St John's,Southern Univ
1985,R1X2,X02,X15,1433,1267,VCU,Marshall
1985,R1X3,X03,X14,1301,1305,NC State,Nevada
1985,R1X4,X04,X13,1424,1361,UNLV,San Diego St
1985,R1X5,X05,X12,1449,1246,Washington,Kentucky
1985,R1X6,X06,X11,1409,1431,Tulsa,UTEP
1985,R1X7,X07,X10,1104,1112,Alabama,Arizona
1985,R1X8,X08,X09,1234,1116,Iowa,Arkansas
1985,R1Y1,Y01,Y16,1328,1299,Oklahoma,NC A&T
1985,R1Y2,Y02,Y15,1272,1335,Memphis,Penn
1985,R1Y3,Y03,Y14,1181,1337,Duke,Pepperdine
1985,R1Y4,Y04,Y13,1326,1235,Ohio St,Iowa St
1985,R1Y5,Y05,Y12,1256,1338,Louisiana Tech,Pittsburgh
1985,R1Y6,Y06,Y11,1403,1130,Texas Tech,Boston College
1985,R1Y7,Y07,Y10,1412,1277,UAB,Michigan St
1985,R1Y8,Y08,Y09,1425,1229,USC,Illinois St
1985,R1Z1,Z01,Z16,1276,1192,Michigan,F Dickinson
1985,R1Z2,Z02,Z15,1314,1292,North Carolina,MTSU
1985,R1Z3,Z03,Z14,1242,1325,Kansas,Ohio
1985,R1Z4,Z04,Z13,1261,1298,LSU,Navy
1985,R1Z5,Z05,Z12,1268,1275,Maryland,Miami OH
1985,R1Z6,Z06,Z11,1345,1120,Purdue,Auburn
1985,R1Z7,Z07,Z10,1323,1333,Notre Dame,Oregon St
1985,R1Z8,Z08,Z09,1437,1173,Villanova,Dayton
1986,R1W1,W01,W16,1181,1290,Duke,MS Valley St
1986,R1W2,W02,W15,1393,1135,Syracuse,Brown
1986,R1W3,W03,W14,1231,1156,Indiana,Cleveland St
1986,R1W4,W04,W13,1328,1318,Oklahoma,Northeastern
1986,R1W5,W05,W12,1438,1177,Virginia,DePaul
1986,R1W6,W06,W11,1386,1350,St Joseph's PA,Richmond
1986,R1W7,W07,W10,1298,1409,Navy,Tulsa
1986,R1W8,W08,W09,1330,1452,Old Dominion,West Virginia
1986,R1X1,X01,X16,1242,1299,Kansas,NC A&T
1986,R1X2,X02,X15,1276,1103,Michigan,Akron
1986,R1X3,X03,X14,1323,1114,Notre Dame,Ark Little Rock
1986,R1X4,X04,X13,1207,1403,Georgetown,Texas Tech
1986,R1X5,X05,X12,1277,1449,Michigan St,Washington
1986,R1X6,X06,X11,1301,1234,NC State,Iowa
1986,R1X7,X07,X10,1235,1275,Iowa St,Miami OH
1986,R1X8,X08,X09,1239,1396,Jacksonville,Temple
1986,R1Y1,Y01,Y16,1246,1172,Kentucky,Davidson
1986,R1Y2,Y02,Y15,1210,1265,Georgia Tech,Marist
1986,R1Y3,Y03,Y14,1272,1123,Memphis,Ball St
1986,R1Y4,Y04,Y13,1228,1193,Illinois,Fairfield
1986,R1Y5,Y05,Y12,1104,1462,Alabama,Xavier
1986,R1Y6,Y06,Y11,1345,1261,Purdue,LSU
1986,R1Y7,Y07,Y10,1439,1437,Virginia Tech,Villanova
1986,R1Y8,Y08,Y09,1443,1304,WKU,Nebraska
1986,R1Z1,Z01,Z16,1385,1286,St John's,Montana St
1986,R1Z2,Z02,Z15,1257,1180,Louisville,Drexel
1986,R1Z3,Z03,Z14,1314,1428,North Carolina,Utah
1986,R1Z4,Z04,Z13,1424,1419,UNLV,ULM
1986,R1Z5,Z05,Z12,1268,1337,Maryland,Pepperdine
1986,R1Z6,Z06,Z11,1412,1281,UAB,Missouri
1986,R1Z7,Z07,Z10,1133,1431,Bradley,UTEP
1986,R1Z8,Z08,Z09,1120,1112,Auburn,Arizona
1987,R1W1,W01,W16,1314,1335,North Carolina,Penn
1987,R1W2,W02,W15,1393,1204,Syracuse,Ga Southern
1987,R1W3,W03,W14,1345,1318,Purdue,Northeastern
1987,R1W4,W04,W13,1395,1267,TCU,Marshall
1987,R1W5,W05,W12,1323,1292,Notre Dame,MTSU
1987,R1W6,W06,W11,1196,1301,Florida,NC State
1987,R1W7,W07,W10,1452,1443,West Virginia,WKU
1987,R1W8,W08,W09,1298,1276,Navy,Michigan
1987,R1X1,X01,X16,1207,1137,Georgetown,Bucknell
1987,R1X2,X02,X15,1104,1299,Alabama,NC A&T
1987,R1X3,X03,X14,1228,1122,Illinois,Austin Peay
1987,R1X4,X04,X13,1155,1283,Clemson,Missouri St
1987,R1X5,X05,X12,1242,1222,Kansas,Houston
1987,R1X6,X06,X11,1344,1412,Providence,UAB
1987,R1X7,X07,X10,1309,1140,New Orleans,BYU
1987,R1X8,X08,X09,1246,1326,Kentucky,Ohio St
1987,R1Y1,Y01,Y16,1231,1193,Indiana,Fairfield
1987,R1Y2,Y02,Y15,1396,1380,Temple,Southern Univ
1987,R1Y3,Y03,Y14,1177,1256,DePaul,Louisiana Tech
1987,R1Y4,Y04,Y13,1281,1462,Missouri,Xavier
1987,R1Y5,Y05,Y12,1181,1401,Duke,Texas A&M
1987,R1Y6,Y06,Y11,1385,1455,St John's,Wichita St
1987,R1Y7,Y07,Y10,1210,1261,Georgia Tech,LSU
1987,R1Y8,Y08,Y09,1120,1360,Auburn,San Diego
1987,R1Z1,Z01,Z16,1424,1226,UNLV,Idaho St
1987,R1Z2,Z02,Z15,1234,1365,Iowa,Santa Clara
1987,R1Z3,Z03,Z14,1338,1265,Pittsburgh,Marist
1987,R1Z4,Z04,Z13,1417,1141,UCLA,C Michigan
1987,R1Z5,Z05,Z12,1438,1461,Virginia,Wyoming
1987,R1Z6,Z06,Z11,1328,1409,Oklahoma,Tulsa
1987,R1Z7,Z07,Z10,1431,1112,UTEP,Arizona
1987,R1Z8,Z08,Z09,1208,1243,Georgia,Kansas St
1988,R1W1,W01,W16,1396,1250,Temple,Lehigh
1988,R1W2,W02,W15,1181,1131,Duke,Boston Univ
1988,R1W3,W03,W14,1393,1299,Syracuse,NC A&T
1988,R1W4,W04,W13,1231,1350,Indiana,Richmond
1988,R1W5,W05,W12,1210,1235,Georgia Tech,Iowa St
1988,R1W6,W06,W11,1281,1348,Missouri,Rhode Island
1988,R1W7,W07,W10,1374,1323,SMU,Notre Dame
1988,R1W8,W08,W09,1207,1261,Georgetown,LSU
1988,R1X1,X01,X16,1345,1192,Purdue,F Dickinson
1988,R1X2,X02,X15,1338,1185,Pittsburgh,E Michigan
1988,R1X3,X03,X14,1301,1293,NC State,Murray St
1988,R1X4,X04,X13,1243,1247,Kansas St,La Salle
1988,R1X5,X05,X12,1177,1455,DePaul,Wichita St
1988,R1X6,X06,X11,1242,1462,Kansas,Xavier
1988,R1X7,X07,X10,1435,1429,Vanderbilt,Utah St
1988,R1X8,X08,X09,1124,1272,Baylor,Memphis
1988,R1Y1,Y01,Y16,1328,1151,Oklahoma,Chattanooga
1988,R1Y2,Y02,Y15,1246,1380,Kentucky,Southern Univ
1988,R1Y3,Y03,Y14,1228,1427,Illinois,UT San Antonio
1988,R1Y4,Y04,Y13,1140,1150,BYU,Charlotte
1988,R1Y5,Y05,Y12,1257,1333,Louisville,Oregon St
1988,R1Y6,Y06,Y11,1437,1116,Villanova,Arkansas
1988,R1Y7,Y07,Y10,1268,1364,Maryland,UC Santa Barbara
1988,R1Y8,Y08,Y09,1120,1133,Auburn,Bradley
1988,R1Z1,Z01,Z16,1112,1165,Arizona,Cornell
1988,R1Z2,Z02,Z15,1314,1317,North Carolina,North Texas
1988,R1Z3,Z03,Z14,1276,1129,Michigan,Boise St
1988,R1Z4,Z04,Z13,1424,1283,UNLV,Missouri St
1988,R1Z5,Z05,Z12,1234,1199,Iowa,Florida St
1988,R1Z6,Z06,Z11,1196,1385,Florida,St John's
1988,R1Z7,Z07,Z10,1461,1258,Wyoming,Loy Marymount
1988,R1Z8,Z08,Z09,1371,1431,Seton Hall,UTEP
1989,R1W1,W01,W16,1207,1343,Georgetown,Princeton
1989,R1W2,W02,W15,1181,1354,Duke,S Carolina St
1989,R1W3,W03,W14,1390,1373,Stanford,Siena
1989,R1W4,W04,W13,1234,1353,Iowa,Rutgers
1989,R1W5,W05,W12,1301,1376,NC State,South Carolina
1989,R1W6,W06,W11,1243,1278,Kansas St,Minnesota
1989,R1W7,W07,W10,1452,1397,West Virginia,Tennessee
1989,R1W8,W08,W09,1435,1323,Vanderbilt,Notre Dame
1989,R1X1,X01,X16,1112,1352,Arizona,Robert Morris
1989,R1X2,X02,X15,1231,1206,Indiana,George Mason
1989,R1X3,X03,X14,1371,1283,Seton Hall,Missouri St
1989,R1X4,X04,X13,1424,1225,UNLV,Idaho
1989,R1X5,X05,X12,1272,1177,Memphis,DePaul
1989,R1X6,X06,X11,1333,1191,Oregon St,Evansville
1989,R1X7,X07,X10,1431,1261,UTEP,LSU
1989,R1X8,X08,X09,1388,1155,St Mary's CA,Clemson
1989,R1Y1,Y01,Y16,1228,1270,Illinois,McNeese St
1989,R1Y2,Y02,Y15,1393,1137,Syracuse,Bucknell
1989,R1Y3,Y03,Y14,1281,1166,Missouri,Creighton
1989,R1Y4,Y04,Y13,1257,1114,Louisville,Ark Little Rock
1989,R1Y5,Y05,Y12,1116,1258,Arkansas,Loy Marymount
1989,R1Y6,Y06,Y11,1210,1400,Georgia Tech,Texas
1989,R1Y7,Y07,Y10,1196,1161,Florida,Colorado St
1989,R1Y8,Y08,Y09,1338,1123,Pittsburgh,Ball St
1989,R1Z1,Z01,Z16,1328,1190,Oklahoma,ETSU
1989,R1Z2,Z02,Z15,1314,1380,North Carolina,Southern Univ
1989,R1Z3,Z03,Z14,1276,1462,Michigan,Xavier
1989,R1Z4,Z04,Z13,1199,1292,Florida St,MTSU
1989,R1Z5,Z05,Z12,1438,1344,Virginia,Providence
1989,R1Z6,Z06,Z11,1104,1375,Alabama,South Alabama
1989,R1Z7,Z07,Z10,1417,1235,UCLA,Iowa St
1989,R1Z8,Z08,Z09,1247,1256,La Salle,Louisiana Tech
1990,R1W1,W01,W16,1163,1131,Connecticut,Boston Univ
1990,R1W2,W02,W15,1242,1352,Kansas,Robert Morris
1990,R1W3,W03,W14,1181,1350,Duke,Richmond
1990,R1W4,W04,W13,1247,1379,La Salle,Southern Miss
1990,R1W5,W05,W12,1155,1140,Clemson,BYU
1990,R1W6,W06,W11,1385,1396,St John's,Temple
1990,R1W7,W07,W10,1417,1412,UCLA,UAB
1990,R1W8,W08,W09,1231,1143,Indiana,California
1990,R1X1,X01,X16,1328,1406,Oklahoma,Towson
1990,R1X2,X02,X15,1345,1419,Purdue,ULM
1990,R1X3,X03,X14,1207,1411,Georgetown,TX Southern
1990,R1X4,X04,X13,1116,1343,Arkansas,Princeton
1990,R1X5,X05,X12,1228,1173,Illinois,Dayton
1990,R1X6,X06,X11,1462,1243,Xavier,Kansas St
1990,R1X7,X07,X10,1208,1400,Georgia,Texas
1990,R1X8,X08,X09,1314,1283,North Carolina,Missouri St
1990,R1Y1,Y01,Y16,1277,1293,Michigan St,Murray St
1990,R1Y2,Y02,Y15,1393,1164,Syracuse,Coppin St
1990,R1Y3,Y03,Y14,1281,1320,Missouri,Northern Iowa
1990,R1Y4,Y04,Y13,1210,1190,Georgia Tech,ETSU
1990,R1Y5,Y05,Y12,1261,1437,LSU,Villanova
1990,R1Y6,Y06,Y11,1278,1431,Minnesota,UTEP
1990,R1Y7,Y07,Y10,1438,1323,Virginia,Notre Dame
1990,R1Y8,Y08,Y09,1222,1364,Houston,UC Santa Barbara
1990,R1Z1,Z01,Z16,1424,1114,UNLV,Ark Little Rock
1990,R1Z2,Z02,Z15,1112,1378,Arizona,South Florida
1990,R1Z3,Z03,Z14,1276,1229,Michigan,Illinois St
1990,R1Z4,Z04,Z13,1257,1225,Louisville,Idaho
1990,R1Z5,Z05,Z12,1333,1123,Oregon St,Ball St
1990,R1Z6,Z06,Z11,1308,1258,New Mexico St,Loy Marymount
1990,R1Z7,Z07,Z10,1104,1161,Alabama,Colorado St
1990,R1Z8,Z08,Z09,1326,1344,Ohio St,Providence
1991,R1W1,W01,W16,1314,1318,North Carolina,Northeastern
1991,R1W2,W02,W15,1393,1350,Syracuse,Richmond
1991,R1W3,W03,W14,1329,1307,Oklahoma St,New Mexico
1991,R1W4,W04,W13,1417,1336,UCLA,Penn St
1991,R1W5,W05,W12,1280,1185,Mississippi St,E Michigan
1991,R1W6,W06,W11,1301,1379,NC State,Southern Miss
1991,R1W7,W07,W10,1345,1396,Purdue,Temple
1991,R1W8,W08,W09,1343,1437,Princeton,Villanova
1991,R1X1,X01,X16,1116,1209,Arkansas,Georgia St
1991,R1X2,X02,X15,1231,1157,Indiana,Coastal Car
1991,R1X3,X03,X14,1242,1309,Kansas,New Orleans
1991,R1X4,X04,X13,1104,1293,Alabama,Murray St
1991,R1X5,X05,X12,1448,1256,Wake Forest,Louisiana Tech
1991,R1X6,X06,X11,1338,1208,Pittsburgh,Georgia
1991,R1X7,X07,X10,1199,1425,Florida St,USC
1991,R1X8,X08,X09,1113,1353,Arizona St,Rutgers
1991,R1Y1,Y01,Y16,1326,1406,Ohio St,Towson
1991,R1Y2,Y02,Y15,1181,1419,Duke,ULM
1991,R1Y3,Y03,Y14,1304,1462,Nebraska,Xavier
1991,R1Y4,Y04,Y13,1385,1296,St John's,N Illinois
1991,R1Y5,Y05,Y12,1400,1389,Texas,St Peter's
1991,R1Y6,Y06,Y11,1261,1163,LSU,Connecticut
1991,R1Y7,Y07,Y10,1234,1190,Iowa,ETSU
1991,R1Y8,Y08,Y09,1210,1177,Georgia Tech,DePaul
1991,R1Z1,Z01,Z16,1424,1285,UNLV,Montana
1991,R1Z2,Z02,Z15,1112,1384,Arizona,St Francis PA
1991,R1Z3,Z03,Z14,1371,1337,Seton Hall,Pepperdine
1991,R1Z4,Z04,Z13,1428,1375,Utah,South Alabama
1991,R1Z5,Z05,Z12,1277,1453,Michigan St,WI Green Bay
1991,R1Z6,Z06,Z11,1308,1166,New Mexico St,Creighton
1991,R1Z7,Z07,Z10,1438,1140,Virginia,BYU
1991,R1Z8,Z08,Z09,1207,1435,Georgetown,Vanderbilt
1992,R1W1,W01,W16,1181,1144,Duke,Campbell
1992,R1W2,W02,W15,1246,1330,Kentucky,Old Dominion
1992,R1W3,W03,W14,1269,1200,Massachusetts,Fordham
1992,R1W4,W04,W13,1371,1247,Seton Hall,La Salle
1992,R1W5,W05,W12,1281,1452,Missouri,West Virginia
1992,R1W6,W06,W11,1393,1343,Syracuse,Princeton
1992,R1W7,W07,W10,1150,1235,Charlotte,Iowa St
1992,R1W8,W08,W09,1400,1234,Texas,Iowa
1992,R1X1,X01,X16,1417,1352,UCLA,Robert Morris
1992,R1X2,X02,X15,1231,1183,Indiana,E Illinois
1992,R1X3,X03,X14,1199,1285,Florida St,Montana
1992,R1X4,X04,X13,1328,1418,Oklahoma,Louisiana
1992,R1X5,X05,X12,1177,1308,DePaul,New Mexico St
1992,R1X6,X06,X11,1207,1378,Georgetown,South Florida
1992,R1X7,X07,X10,1261,1140,LSU,BYU
1992,R1X8,X08,X09,1257,1448,Louisville,Wake Forest
1992,R1Y1,Y01,Y16,1242,1224,Kansas,Howard
1992,R1Y2,Y02,Y15,1425,1419,USC,ULM
1992,R1Y3,Y03,Y14,1116,1293,Arkansas,Murray St
1992,R1Y4,Y04,Y13,1153,1174,Cincinnati,Delaware
1992,R1Y5,Y05,Y12,1277,1283,Michigan St,Missouri St
1992,R1Y6,Y06,Y11,1272,1337,Memphis,Pepperdine
1992,R1Y7,Y07,Y10,1210,1222,Georgia Tech,Houston
1992,R1Y8,Y08,Y09,1191,1431,Evansville,UTEP
1992,R1Z1,Z01,Z16,1326,1290,Ohio St,MS Valley St
1992,R1Z2,Z02,Z15,1329,1204,Oklahoma St,Ga Southern
1992,R1Z3,Z03,Z14,1112,1190,Arizona,ETSU
1992,R1Z4,Z04,Z13,1314,1275,North Carolina,Miami OH
1992,R1Z5,Z05,Z12,1104,1390,Alabama,Stanford
1992,R1Z6,Z06,Z11,1276,1396,Michigan,Temple
1992,R1Z7,Z07,Z10,1385,1408,St John's,Tulane
1992,R1Z8,Z08,Z09,1304,1163,Nebraska,Connecticut
1993,R1W1,W01,W16,1314,1187,North Carolina,East Carolina
1993,R1W2,W02,W15,1153,1164,Cincinnati,Coppin St
1993,R1W3,W03,W14,1269,1335,Massachusetts,Penn
1993,R1W4,W04,W13,1116,1221,Arkansas,Holy Cross
1993,R1W5,W05,W12,1385,1403,St John's,Texas Tech
1993,R1W6,W06,W11,1438,1264,Virginia,Manhattan
1993,R1W7,W07,W10,1308,1304,New Mexico St,Nebraska
1993,R1W8,W08,W09,1348,1345,Rhode Island,Purdue
1993,R1X1,X01,X16,1231,1460,Indiana,Wright St
1993,R1X2,X02,X15,1242,1123,Kansas,Ball St
1993,R1X3,X03,X14,1181,1356,Duke,S Illinois
1993,R1X4,X04,X13,1257,1174,Louisville,Delaware
1993,R1X5,X05,X12,1329,1266,Oklahoma St,Marquette
1993,R1X6,X06,X11,1143,1261,California,LSU
1993,R1X7,X07,X10,1140,1374,BYU,SMU
1993,R1X8,X08,X09,1309,1462,New Orleans,Xavier
1993,R1Y1,Y01,Y16,1246,1351,Kentucky,Rider
1993,R1Y2,Y02,Y15,1371,1398,Seton Hall,Tennessee St
1993,R1Y3,Y03,Y14,1199,1191,Florida St,Evansville
1993,R1Y4,Y04,Y13,1234,1419,Iowa,ULM
1993,R1Y5,Y05,Y12,1448,1151,Wake Forest,Chattanooga
1993,R1Y6,Y06,Y11,1243,1408,Kansas St,Tulane
1993,R1Y7,Y07,Y10,1443,1272,WKU,Memphis
1993,R1Y8,Y08,Y09,1428,1338,Utah,Pittsburgh
1993,R1Z1,Z01,Z16,1276,1157,Michigan,Coastal Car
1993,R1Z2,Z02,Z15,1112,1365,Arizona,Santa Clara
1993,R1Z3,Z03,Z14,1435,1129,Vanderbilt,Boise St
1993,R1Z4,Z04,Z13,1210,1380,Georgia Tech,Southern Univ
1993,R1Z5,Z05,Z12,1307,1203,New Mexico,G Washington
1993,R1Z6,Z06,Z11,1228,1253,Illinois,Long Beach St
1993,R1Z7,Z07,Z10,1396,1281,Temple,Missouri
1993,R1Z8,Z08,Z09,1235,1417,Iowa St,UCLA
1994,R1W1,W01,W16,1314,1251,North Carolina,Liberty
1994,R1W2,W02,W15,1163,1351,Connecticut,Rider
1994,R1W3,W03,W14,1196,1241,Florida,James Madison
1994,R1W4,W04,W13,1396,1180,Temple,Drexel
1994,R1W5,W05,W12,1231,1325,Indiana,Ohio
1994,R1W6,W06,W11,1304,1335,Nebraska,Penn
1994,R1W7,W07,W10,1412,1203,UAB,G Washington
1994,R1W8,W08,W09,1450,1130,Washington St,Boston College
1994,R1X1,X01,X16,1345,1416,Purdue,UCF
1994,R1X2,X02,X15,1181,1411,Duke,TX Southern
1994,R1X3,X03,X14,1246,1398,Kentucky,Tennessee St
1994,R1X4,X04,X13,1242,1151,Kansas,Chattanooga
1994,R1X5,X05,X12,1448,1158,Wake Forest,Col Charleston
1994,R1X6,X06,X11,1266,1418,Marquette,Louisiana
1994,R1X7,X07,X10,1277,1371,Michigan St,Seton Hall
1994,R1X8,X08,X09,1344,1104,Providence,Alabama
1994,R1Y1,Y01,Y16,1116,1299,Arkansas,NC A&T
1994,R1Y2,Y02,Y15,1269,1402,Massachusetts,Texas St
1994,R1Y3,Y03,Y14,1276,1337,Michigan,Pepperdine
1994,R1Y4,Y04,Y13,1329,1308,Oklahoma St,New Mexico St
1994,R1Y5,Y05,Y12,1417,1409,UCLA,Tulsa
1994,R1Y6,Y06,Y11,1400,1443,Texas,WKU
1994,R1Y7,Y07,Y10,1387,1268,St Louis,Maryland
1994,R1Y8,Y08,Y09,1228,1207,Illinois,Georgetown
1994,R1Z1,Z01,Z16,1281,1298,Missouri,Navy
1994,R1Z2,Z02,Z15,1112,1259,Arizona,Loyola MD
1994,R1Z3,Z03,Z14,1257,1129,Louisville,Boise St
1994,R1Z4,Z04,Z13,1393,1218,Syracuse,Hawaii
1994,R1Z5,Z05,Z12,1143,1453,California,WI Green Bay
1994,R1Z6,Z06,Z11,1278,1356,Minnesota,S Illinois
1994,R1Z7,Z07,Z10,1438,1307,Virginia,New Mexico
1994,R1Z8,Z08,Z09,1153,1458,Cincinnati,Wisconsin
1995,R1W1,W01,W16,1448,1299,Wake Forest,NC A&T
1995,R1W2,W02,W15,1269,1389,Massachusetts,St Peter's
1995,R1W3,W03,W14,1437,1330,Villanova,Old Dominion
1995,R1W4,W04,W13,1329,1180,Oklahoma St,Drexel
1995,R1W5,W05,W12,1104,1335,Alabama,Penn
1995,R1W6,W06,W11,1409,1228,Tulsa,Illinois
1995,R1W7,W07,W10,1150,1390,Charlotte,Stanford
1995,R1W8,W08,W09,1278,1387,Minnesota,St Louis
1995,R1X1,X01,X16,1417,1198,UCLA,Florida Intl
1995,R1X2,X02,X15,1163,1151,Connecticut,Chattanooga
1995,R1X3,X03,X14,1268,1211,Maryland,Gonzaga
1995,R1X4,X04,X13,1428,1253,Utah,Long Beach St
1995,R1X5,X05,X12,1280,1365,Mississippi St,Santa Clara
